year	concentration	spring	summer 	autumn	winter	nthyear	nthqrt
2013	395.099	1	0	0	0	36	36
2013	392.7898333	0	1	0	0	36	36.25
2013	394.4103334	0	0	1	0	36	36.5
2013	394.0703333	0	0	0	1	36	36.75
2014	397.445	1	0	0	0	37	37
2014	395.0528333	0	1	0	0	37	37.25
2014	396.4913334	0	0	1	0	37	37.5
2014	396.5591667	0	0	0	1	37	37.75
2015	399.3498334	1	0	0	0	38	38
2015	397.143	0	1	0	0	38	38.25
2015	399.0376667	0	0	1	0	38	38.5
2015	398.5016667	0	0	0	1	38	38.75
2016	402.4696667	1	0	0	0	39	39
2016	400.2883333	0	1	0	0	39	39.25
2016	402.2701667	0	0	1	0	39	39.5
2016	401.6296667	0	0	0	1	39	39.75
2017	405.155	1	0	0	0	40	40
2017	402.7005	0	1	0	0	40	40.25
2017	404.1628334	0	0	1	0	40	40.5
2017	404.4423333	0	0	0	1	40	40.75
2018	407.0105	1	0	0	0	41	41
2018	405.054	0	1	0	0	41	41.25
2018	406.8293333	0	0	1	0	41	41.5
2018	406.0901667	0	0	0	1	41	41.75
2019	409.7663333	1	0	0	0	42	42
2019	407.4771667	0	1	0	0	42	42.25
2019	409.1325	0	0	1	0	42	42.5
2019	408.8645	0	0	0	1	42	42.75
2020	412.4366667	1	0	0	0	43	43
2020	410.1585	0	1	0	0	43	43.25
2020	411.5621667	0	0	1	0	43	43.5
2020	411.4926667	0	0	0	1	43	43.75
