year	concentration	spring	summer	autumn	winter	nthqrt
1977	335.9933333	1	0	0	0	0
1977	331.71	0	1	0	0	0.25
1977	333.6666667	0	0	1	0	0.5
1977	334.7566667	0	0	0	1	0.75
1978	337.51	1	0	0	0	1
1978	333.0766667	0	1	0	0	1.25
1978	334.9366667	0	0	1	0	1.5
1978	336.5366667	0	0	0	1	1.75
1979	338.68	1	0	0	0	2
1979	334.6466667	0	1	0	0	2.25
1979	336.6766667	0	0	1	0	2.5
1979	337.9266667	0	0	0	1	2.75
1980	340.7533333	1	0	0	0	3
1980	336.6866667	0	1	0	0	3.25
1980	338.2933333	0	0	1	0	3.5
1980	339.78	0	0	0	1	3.75
1981	342.1333333	1	0	0	0	4
1981	337.4933333	0	1	0	0	4.25
1981	339.8066667	0	0	1	0	4.5
1981	341.5933333	0	0	0	1	4.75
1982	343.69	1	0	0	0	5
1982	339.01	0	1	0	0	5.25
1982	340.5966667	0	0	1	0	5.5
1982	342.8333333	0	0	0	1	5.75
1983	345.4066667	1	0	0	0	6
1983	341.1666667	0	1	0	0	6.25
1983	343.0666667	0	0	1	0	6.5
1983	343.85	0	0	0	1	6.75
1984	346.91	1	0	0	0	7
1984	342.3966667	0	1	0	0	7.25
1984	344.5966667	0	0	1	0	7.5
1984	345.9133333	0	0	0	1	7.75
1985	348.2766667	1	0	0	0	8
1985	344.0266667	0	1	0	0	8.25
1985	345.8766667	0	0	1	0	8.5
1985	347.66	0	0	0	1	8.75
1986	349.5833333	1	0	0	0	9
1986	345.49	0	1	0	0	9.25
1986	347.4766667	0	0	1	0	9.5
1986	348.53	0	0	0	1	9.75
1987	351.3133333	1	0	0	0	10
1987	347.1933333	0	1	0	0	10.25
1987	349.29	0	0	1	0	10.5
1987	350.0433333	0	0	0	1	10.75
1988	353.6766667	1	0	0	0	11
1988	349.61	0	1	0	0	11.25
1988	351.7033333	0	0	1	0	11.5
1988	352.6233333	0	0	0	1	11.75
1989	355.1466667	1	0	0	0	12
1989	350.7533333	0	1	0	0	12.25
1989	352.7733333	0	0	1	0	12.5
1989	354.41	0	0	0	1	12.75
1990	356.22	1	0	0	0	13
1990	352.0433333	0	1	0	0	13.25
1990	354.16	0	0	1	0	13.5
1990	355.7433333	0	0	0	1	13.75
1991	357.92	1	0	0	0	14
1991	352.9133333	0	1	0	0	14.25
1991	355.1466667	0	0	1	0	14.5
1991	357.3066667	0	0	0	1	14.75
1992	358.7633333	1	0	0	0	15
1992	353.8033333	0	1	0	0	15.25
1992	355.7333333	0	0	1	0	15.5
1992	358.1333333	0	0	0	1	15.75
1993	359.1333333	1	0	0	0	16
1993	354.71	0	1	0	0	16.25
1993	356.9733333	0	0	1	0	16.5
1993	358.4666667	0	0	0	1	16.75
1994	360.7433333	1	0	0	0	17
1994	356.5533333	0	1	0	0	17.25
1994	358.93	0	0	1	0	17.5
1994	360.17	0	0	0	1	17.75
1995	362.98	1	0	0	0	18
1995	358.5966667	0	1	0	0	18.25
1995	360.8766667	0	0	1	0	18.5
1995	362.14	0	0	0	1	18.75
1996	364.6666667	1	0	0	0	19
1996	360.32	0	1	0	0	19.25
1996	362.2233333	0	0	1	0	19.5
1996	364.11	0	0	0	1	19.75
1997	365.6533333	1	0	0	0	20
1997	361.2733333	0	1	0	0	20.25
1997	364.1833333	0	0	1	0	20.5
1997	365.1166667	0	0	0	1	20.75
1998	368.89	1	0	0	0	21
1998	364.9333333	0	1	0	0	21.25
1998	367.1066667	0	0	1	0	21.5
1998	367.4166667	0	0	0	1	21.75
1999	370.3966667	1	0	0	0	22
1999	365.8433333	0	1	0	0	22.25
1999	368.1966667	0	0	1	0	22.5
1999	370.09	0	0	0	1	22.75
2000	371.2133333	1	0	0	0	23
2000	367.5333333	0	1	0	0	23.25
2000	369.7066667	0	0	1	0	23.5
2000	370.8133333	0	0	0	1	23.75
2001	373.0366667	1	0	0	0	24
2001	368.91	0	1	0	0	24.25
2001	371.3533333	0	0	1	0	24.5
2001	372.6233333	0	0	0	1	24.75
2002	375.26	1	0	0	0	25
2002	371.23	0	1	0	0	25.25
2002	373.8266667	0	0	1	0	25.5
2002	374.2866667	0	0	0	1	25.75
2003	378.04	1	0	0	0	26
2003	373.74	0	1	0	0	26.25
2003	376.06	0	0	1	0	26.5
2003	376.7933333	0	0	0	1	26.75
2004	379.44	1	0	0	0	27
2004	375.0766667	0	1	0	0	27.25
2004	377.5466667	0	0	1	0	27.5
2004	379.2166667	0	0	0	1	27.75
2005	381.99	1	0	0	0	28
2005	377.67	0	1	0	0	28.25
2005	380.1433333	0	0	1	0	28.5
2005	381.1133333	0	0	0	1	28.75
2006	384.0366667	1	0	0	0	29
2006	379.6566667	0	1	0	0	29.25
2006	381.8233333	0	0	1	0	29.5
2006	383.3533333	0	0	0	1	29.75
2007	385.9466667	1	0	0	0	30
2007	381.6033333	0	1	0	0	30.25
2007	384.2233333	0	0	1	0	30.5
2007	385.22	0	0	0	1	30.75
2008	387.7933333	1	0	0	0	31
2008	383.6466667	0	1	0	0	31.25
2008	385.79	0	0	1	0	31.5
2008	386.5566667	0	0	0	1	31.75
2009	389.4366667	1	0	0	0	32
2009	385.2933333	0	1	0	0	32.25
2009	387.59	0	0	1	0	32.5
2009	388.8333333	0	0	0	1	32.75
2010	392	1	0	0	0	33
2010	387.6666667	0	1	0	0	33.25
2010	390.12	0	0	1	0	33.5
2010	391.4833333	0	0	0	1	33.75
2011	393.6933333	1	0	0	0	34
2011	389.6	0	1	0	0	34.25
2011	391.95	0	0	1	0	34.5
2011	392.7633333	0	0	0	1	34.75
2012	395.8	1	0	0	0	35
2012	391.7266667	0	1	0	0	35.25
2012	394.5166667	0	0	1	0	35.5
2012	395.0033333	0	0	0	1	35.75
2013	398.78	1	0	0	0	36
2013	394.3366667	0	1	0	0	36.25
2013	396.81	0	0	1	0	36.5
2013	397.7766667	0	0	0	1	36.75
2014	400.9233333	1	0	0	0	37
2014	396.4166667	0	1	0	0	37.25
2014	398.96	0	0	1	0	37.5
2014	399.8966667	0	0	0	1	37.75
2015	402.86	1	0	0	0	38
2015	398.4733333	0	1	0	0	38.25
2015	401.6866667	0	0	1	0	38.5
2015	401.88	0	0	0	1	38.75
2016	406.4933333	1	0	0	0	39
2016	401.8233333	0	1	0	0	39.25
2016	404.9066667	0	0	1	0	39.5
2016	405.6366667	0	0	0	1	39.75
2017	408.7666667	1	0	0	0	40
2017	404.2366667	0	1	0	0	40.25
2017	406.82	0	0	1	0	40.5
2017	407.8033333	0	0	0	1	40.75
2018	410.4433333	1	0	0	0	41
2018	406.3533333	0	1	0	0	41.25
2018	409.5033333	0	0	1	0	41.5
2018	409.52	0	0	0	1	41.75
2019	413.6633333	1	0	0	0	42
2019	409.23	0	1	0	0	42.25
2019	412.0233333	0	0	1	0	42.5
2019	412.56	0	0	0	1	42.75
2020	416.1766667	1	0	0	0	43
2020	411.9366667	0	1	0	0	43.25
2020	414.3	0	0	1	0	43.5
2020	415.1766667	0	0	0	1	43.75
